area,Lockdown,Post-Lockdown,Pre-COVID,absolute_change,percentage_change
All,16.74271028037383,9.22,9.231346153846154,7.511364126527678,81.3680258690997
Rural,16.181313131313132,,8.094807692307693,8.086505439005439,99.89743730033088
Urban,19.27638095238095,,10.842246376811595,8.434134575569356,77.78954916213223
